iterations,js1
300,0.160946303
600,0.097029345
900,0.080824368
1200,0.061580798
1500,0.054767019
1800,0.045769991
2100,0.043172696
2400,0.04247499
2700,0.040471038
3000,0.037875861
3300,0.036720525
3600,0.033825004
3900,0.036771504
4200,0.032620713
4500,0.028469631
4800,0.03142514
5100,0.031447216
5400,0.028998865
5700,0.031395125
6000,0.0361028
6300,0.029498288
6600,0.028313382
6900,0.027267487
7200,0.025652532
7500,0.026672444
7800,0.025571846
8100,0.025129124
8400,0.026634744
8700,0.026415555
9000,0.025118415
9300,0.030123339
9600,0.024761001
9900,0.023689854
10200,0.024740643
10500,0.027748159
10800,0.021451191
11100,0.026230218
11400,0.021235737
11700,0.019571303
12000,0.026084395
12300,0.023754927
12600,0.020579589
12900,0.023797241
13200,0.022447333
13500,0.023284849
13800,0.022489847
14100,0.020773111
14400,0.021146579
14700,0.021144324
15000,0.021908363
15300,0.022327703
15600,0.022826465
15900,0.021470707
16200,0.023211205
16500,0.021285049
16800,0.021267828
17100,0.021038568
17400,0.022871301
17700,0.023558615
18000,0.018337249
18300,0.020415087
18600,0.02076694
18900,0.020135934
19200,0.021294308
19500,0.019412085
19800,0.020155548
20100,0.019854648
20400,0.019942148
20700,0.020768904
21000,0.021093408
21300,0.020191875
21600,0.019612197
21900,0.022165267
22200,0.023800052
22500,0.021001912
22800,0.023524386
23100,0.022873907
23400,0.021987784
23700,0.023606447
24000,0.020534842
24300,0.022774754
24600,0.020783632
24900,0.020618589
25200,0.02100601
25500,0.020213235
25800,0.02037959
26100,0.018745509
26400,0.02216034
26700,0.022141702
27000,0.021151437
27300,0.025839076
27600,0.022127373
27900,0.018306406
28200,0.020234098
28500,0.019524511
28800,0.021943277
29100,0.020934517
29400,0.02148021
29700,0.017717507
30000,0.018392586
