iterations,js1
300,0.345678745
600,0.288593045
900,0.277077718
1200,0.259638814
1500,0.263620329
1800,0.246325637
2100,0.248539078
2400,0.253916437
2700,0.242800039
3000,0.24277703
3300,0.248306984
3600,0.250606486
3900,0.242617752
4200,0.244000216
4500,0.2421729
4800,0.233101214
5100,0.243987387
5400,0.229826523
5700,0.228355277
6000,0.244094952
6300,0.23774517
6600,0.223554706
6900,0.229915929
7200,0.23474902
7500,0.230465017
7800,0.235366507
8100,0.233421885
8400,0.244057624
8700,0.240392947
9000,0.237036347
9300,0.224791423
9600,0.233910248
9900,0.223218271
10200,0.223505627
10500,0.239279283
10800,0.226209073
11100,0.220667119
11400,0.229052576
11700,0.228959941
12000,0.245242879
12300,0.21846482
12600,0.22786485
12900,0.227989026
13200,0.222728238
13500,0.230594292
13800,0.230824045
14100,0.224073746
14400,0.221285359
14700,0.227359836
15000,0.220995511
15300,0.21934878
15600,0.227805868
15900,0.221042798
16200,0.225535226
16500,0.229573872
16800,0.227583741
17100,0.220050593
17400,0.220720465
17700,0.218131232
18000,0.225544011
18300,0.223405869
18600,0.225219397
18900,0.21933975
19200,0.22497031
19500,0.221184727
19800,0.220946418
20100,0.226792654
20400,0.226807084
20700,0.221057044
21000,0.223307348
21300,0.221691968
21600,0.22100559
21900,0.221600103
22200,0.223600351
22500,0.214285172
22800,0.214934488
23100,0.216827098
23400,0.212603277
23700,0.218538105
24000,0.218739471
24300,0.22263438
24600,0.217865278
24900,0.217665441
25200,0.216727366
25500,0.217656241
25800,0.218095495
26100,0.221303807
26400,0.222235276
26700,0.22056374
27000,0.228229677
27300,0.215276747
27600,0.209655783
27900,0.214756745
28200,0.217090752
28500,0.222963537
28800,0.226284354
29100,0.214898232
29400,0.222319579
29700,0.220778102
30000,0.219238388
